malloc(160)                   => 0x7a769f7dc050
realloc(0x7a769f7dc050, 43) => 0x7a769f801050
free(0x7a769f801050)
malloc(16)                   => 0x71b400d68050
malloc(16)                   => 0x71b400d68080
malloc(16)                   => 0x71b400d680b0
malloc(16)                   => 0x71b400d680e0
realloc(0x71b400d680e0, 18) => 0x71b400d680e0
free(0x71b400d68050)
free(0x71b400d68080)
free(0x71b400d680b0)
free(0x71b400d680e0)
malloc(16)                   => 0x759b7ab79050
malloc(16)                   => 0x759b7ab79080
malloc(128)                   => 0x759b7ab790b0
free(0x759b7ab79080)
realloc(0x759b7ab79050, 64) => 0x759b7ab79050
free(0x759b7ab790b0)
free(0x759b7ab79050)
malloc(1024)                   => 0x78347f49a050
malloc(1024)                   => 0x78347f49a470
malloc(1024)                   => 0x78347f49a890
malloc(1024)                   => 0x78347f49acb0
malloc(1024)                   => 0x78347f49b0d0
malloc(1024)                   => 0x78347f49b4f0
malloc(1024)                   => 0x78347f49b910
malloc(1024)                   => 0x78347f49bd30
malloc(1024)                   => 0x78347f49c150
malloc(1024)                   => 0x78347f49c570
malloc(1024)                   => 0x78347f49c990
malloc(1024)                   => 0x78347f49cdb0
malloc(1024)                   => 0x78347f49d1d0
malloc(1024)                   => 0x78347f49d5f0
malloc(1024)                   => 0x78347f49da10
malloc(1024)                   => 0x78347f49de30
malloc(1024)                   => 0x78347f49e250
malloc(1024)                   => 0x78347f49e670
malloc(1024)                   => 0x78347f49ea90
malloc(1024)                   => 0x78347f49eeb0
malloc(1024)                   => 0x78347f49f2d0
malloc(1024)                   => 0x78347f49f6f0
malloc(1024)                   => 0x78347f49fb10
malloc(1024)                   => 0x78347f49ff30
malloc(1024)                   => 0x78347f4a0350
malloc(1024)                   => 0x78347f4a0770
malloc(1024)                   => 0x78347f4a0b90
malloc(1024)                   => 0x78347f4a0fb0
malloc(1024)                   => 0x78347f4a13d0
malloc(1024)                   => 0x78347f4a17f0
malloc(1024)                   => 0x78347f4a1c10
malloc(1024)                   => 0x78347f4a2030
malloc(1024)                   => 0x78347f4a2450
malloc(1024)                   => 0x78347f4a2870
malloc(1024)                   => 0x78347f4a2c90
malloc(1024)                   => 0x78347f4a30b0
malloc(1024)                   => 0x78347f4a34d0
malloc(1024)                   => 0x78347f4a38f0
malloc(1024)                   => 0x78347f4a3d10
malloc(1024)                   => 0x78347f4a4130
malloc(1024)                   => 0x78347f4a4550
malloc(1024)                   => 0x78347f4a4970
malloc(1024)                   => 0x78347f4a4d90
malloc(1024)                   => 0x78347f4a51b0
malloc(1024)                   => 0x78347f4a55d0
malloc(1024)                   => 0x78347f4a59f0
malloc(1024)                   => 0x78347f4a5e10
malloc(1024)                   => 0x78347f4a6230
malloc(1024)                   => 0x78347f4a6650
malloc(1024)                   => 0x78347f4a6a70
malloc(1024)                   => 0x78347f4a6e90
malloc(1024)                   => 0x78347f4a72b0
malloc(1024)                   => 0x78347f4a76d0
malloc(1024)                   => 0x78347f4a7af0
malloc(1024)                   => 0x78347f4a7f10
malloc(1024)                   => 0x78347f4a8330
malloc(1024)                   => 0x78347f4a8750
malloc(1024)                   => 0x78347f4a8b70
malloc(1024)                   => 0x78347f4a8f90
malloc(1024)                   => 0x78347f4a93b0
malloc(1024)                   => 0x78347f4a97d0
malloc(1024)                   => 0x78347f4a9bf0
malloc(1024)                   => 0x78347f4aa010
malloc(1024)                   => 0x78347f4aa430
malloc(1024)                   => 0x78347f4aa850
malloc(1024)                   => 0x78347f4aac70
malloc(1024)                   => 0x78347f4ab090
malloc(1024)                   => 0x78347f4ab4b0
malloc(1024)                   => 0x78347f4ab8d0
malloc(1024)                   => 0x78347f4abcf0
malloc(1024)                   => 0x78347f4ac110
malloc(1024)                   => 0x78347f4ac530
malloc(1024)                   => 0x78347f4ac950
malloc(1024)                   => 0x78347f4acd70
malloc(1024)                   => 0x78347f4ad190
malloc(1024)                   => 0x78347f4ad5b0
malloc(1024)                   => 0x78347f4ad9d0
malloc(1024)                   => 0x78347f4addf0
malloc(1024)                   => 0x78347f4ae210
malloc(1024)                   => 0x78347f4ae630
malloc(1024)                   => 0x78347f4aea50
malloc(1024)                   => 0x78347f4aee70
malloc(1024)                   => 0x78347f4af290
malloc(1024)                   => 0x78347f4af6b0
malloc(1024)                   => 0x78347f4afad0
malloc(1024)                   => 0x78347f4afef0
malloc(1024)                   => 0x78347f4b0310
malloc(1024)                   => 0x78347f4b0730
malloc(1024)                   => 0x78347f4b0b50
malloc(1024)                   => 0x78347f4b0f70
malloc(1024)                   => 0x78347f4b1390
malloc(1024)                   => 0x78347f4b17b0
malloc(1024)                   => 0x78347f4b1bd0
malloc(1024)                   => 0x78347f4b1ff0
malloc(1024)                   => 0x78347f4b2410
malloc(1024)                   => 0x78347f4b2830
malloc(1024)                   => 0x78347f4b2c50
malloc(1024)                   => 0x78347f4b3070
malloc(1024)                   => 0x78347f4b3490
malloc(1024)                   => 0x78347f4b38b0
malloc(1024)                   => 0x78347f4b3cd0
malloc(1024)                   => 0x78347f4b40f0
malloc(1024)                   => 0x78347f4b4510
malloc(1024)                   => 0x78347f4b4930
malloc(1024)                   => 0x78347f4b4d50
malloc(1024)                   => 0x78347f4b5170
malloc(1024)                   => 0x78347f4b5590
malloc(1024)                   => 0x78347f4b59b0
malloc(1024)                   => 0x78347f4b5dd0
malloc(1024)                   => 0x78347f4b61f0
malloc(1024)                   => 0x78347f4b6610
malloc(1024)                   => 0x78347f4b6a30
malloc(1024)                   => 0x78347f4b6e50
malloc(1024)                   => 0x78347f4b7270
malloc(1024)                   => 0x78347f4b7690
malloc(1024)                   => 0x78347f4b7ab0
malloc(1024)                   => 0x78347f4b7ed0
malloc(1024)                   => 0x78347f4b82f0
malloc(1024)                   => 0x78347f4b8710
malloc(1024)                   => 0x78347f4b8b30
malloc(1024)                   => 0x78347f4b8f50
malloc(1024)                   => 0x78347f4b9370
malloc(1024)                   => 0x78347f4b9790
malloc(1024)                   => 0x78347f4b9bb0
malloc(1024)                   => 0x78347f47a050
malloc(1024)                   => 0x78347f47a470
malloc(1024)                   => 0x78347f47a890
malloc(1024)                   => 0x78347f47acb0
malloc(1024)                   => 0x78347f47b0d0
malloc(1024)                   => 0x78347f47b4f0
malloc(1024)                   => 0x78347f47b910
malloc(1024)                   => 0x78347f47bd30
malloc(1024)                   => 0x78347f47c150
malloc(1024)                   => 0x78347f47c570
malloc(1024)                   => 0x78347f47c990
malloc(1024)                   => 0x78347f47cdb0
malloc(1024)                   => 0x78347f47d1d0
malloc(1024)                   => 0x78347f47d5f0
malloc(1024)                   => 0x78347f47da10
malloc(1024)                   => 0x78347f47de30
malloc(1024)                   => 0x78347f47e250
malloc(1024)                   => 0x78347f47e670
malloc(1024)                   => 0x78347f47ea90
malloc(1024)                   => 0x78347f47eeb0
malloc(1024)                   => 0x78347f47f2d0
malloc(1024)                   => 0x78347f47f6f0
malloc(1024)                   => 0x78347f47fb10
malloc(1024)                   => 0x78347f47ff30
malloc(1024)                   => 0x78347f480350
malloc(1024)                   => 0x78347f480770
malloc(1024)                   => 0x78347f480b90
malloc(1024)                   => 0x78347f480fb0
malloc(1024)                   => 0x78347f4813d0
malloc(1024)                   => 0x78347f4817f0
malloc(1024)                   => 0x78347f481c10
malloc(1024)                   => 0x78347f482030
malloc(1024)                   => 0x78347f482450
malloc(1024)                   => 0x78347f482870
malloc(1024)                   => 0x78347f482c90
malloc(1024)                   => 0x78347f4830b0
malloc(1024)                   => 0x78347f4834d0
malloc(1024)                   => 0x78347f4838f0
malloc(1024)                   => 0x78347f483d10
malloc(1024)                   => 0x78347f484130
malloc(1024)                   => 0x78347f484550
malloc(1024)                   => 0x78347f484970
malloc(1024)                   => 0x78347f484d90
malloc(1024)                   => 0x78347f4851b0
malloc(1024)                   => 0x78347f4855d0
malloc(1024)                   => 0x78347f4859f0
malloc(1024)                   => 0x78347f485e10
malloc(1024)                   => 0x78347f486230
malloc(1024)                   => 0x78347f486650
malloc(1024)                   => 0x78347f486a70
malloc(1024)                   => 0x78347f486e90
malloc(1024)                   => 0x78347f4872b0
malloc(1024)                   => 0x78347f4876d0
malloc(1024)                   => 0x78347f487af0
malloc(1024)                   => 0x78347f487f10
malloc(1024)                   => 0x78347f488330
malloc(1024)                   => 0x78347f488750
malloc(1024)                   => 0x78347f488b70
malloc(1024)                   => 0x78347f488f90
malloc(1024)                   => 0x78347f4893b0
malloc(1024)                   => 0x78347f4897d0
malloc(1024)                   => 0x78347f489bf0
malloc(1024)                   => 0x78347f48a010
malloc(1024)                   => 0x78347f48a430
malloc(1024)                   => 0x78347f48a850
malloc(1024)                   => 0x78347f48ac70
malloc(1024)                   => 0x78347f48b090
malloc(1024)                   => 0x78347f48b4b0
malloc(1024)                   => 0x78347f48b8d0
malloc(1024)                   => 0x78347f48bcf0
malloc(1024)                   => 0x78347f48c110
malloc(1024)                   => 0x78347f48c530
malloc(1024)                   => 0x78347f48c950
malloc(1024)                   => 0x78347f48cd70
malloc(1024)                   => 0x78347f48d190
malloc(1024)                   => 0x78347f48d5b0
malloc(1024)                   => 0x78347f48d9d0
malloc(1024)                   => 0x78347f48ddf0
malloc(1024)                   => 0x78347f48e210
malloc(1024)                   => 0x78347f48e630
malloc(1024)                   => 0x78347f48ea50
malloc(1024)                   => 0x78347f48ee70
malloc(1024)                   => 0x78347f48f290
malloc(1024)                   => 0x78347f48f6b0
malloc(1024)                   => 0x78347f48fad0
malloc(1024)                   => 0x78347f48fef0
malloc(1024)                   => 0x78347f490310
malloc(1024)                   => 0x78347f490730
malloc(1024)                   => 0x78347f490b50
malloc(1024)                   => 0x78347f490f70
malloc(1024)                   => 0x78347f491390
malloc(1024)                   => 0x78347f4917b0
malloc(1024)                   => 0x78347f491bd0
malloc(1024)                   => 0x78347f491ff0
malloc(1024)                   => 0x78347f492410
malloc(1024)                   => 0x78347f492830
malloc(1024)                   => 0x78347f492c50
malloc(1024)                   => 0x78347f493070
malloc(1024)                   => 0x78347f493490
malloc(1024)                   => 0x78347f4938b0
malloc(1024)                   => 0x78347f493cd0
malloc(1024)                   => 0x78347f4940f0
malloc(1024)                   => 0x78347f494510
malloc(1024)                   => 0x78347f494930
malloc(1024)                   => 0x78347f494d50
malloc(1024)                   => 0x78347f495170
malloc(1024)                   => 0x78347f495590
malloc(1024)                   => 0x78347f4959b0
malloc(1024)                   => 0x78347f495dd0
malloc(1024)                   => 0x78347f4961f0
malloc(1024)                   => 0x78347f496610
malloc(1024)                   => 0x78347f496a30
malloc(1024)                   => 0x78347f496e50
malloc(1024)                   => 0x78347f497270
malloc(1024)                   => 0x78347f497690
malloc(1024)                   => 0x78347f497ab0
malloc(1024)                   => 0x78347f497ed0
malloc(1024)                   => 0x78347f4982f0
malloc(1024)                   => 0x78347f498710
malloc(1024)                   => 0x78347f498b30
malloc(1024)                   => 0x78347f498f50
malloc(1024)                   => 0x78347f499370
malloc(1024)                   => 0x78347f499790
malloc(1024)                   => 0x78347f499bb0
malloc(1024)                   => 0x78347f45a050
malloc(1024)                   => 0x78347f45a470
malloc(1024)                   => 0x78347f45a890
malloc(1024)                   => 0x78347f45acb0
malloc(1024)                   => 0x78347f45b0d0
malloc(1024)                   => 0x78347f45b4f0
malloc(1024)                   => 0x78347f45b910
malloc(1024)                   => 0x78347f45bd30
malloc(1024)                   => 0x78347f45c150
malloc(1024)                   => 0x78347f45c570
malloc(1024)                   => 0x78347f45c990
malloc(1024)                   => 0x78347f45cdb0
malloc(1024)                   => 0x78347f45d1d0
malloc(1024)                   => 0x78347f45d5f0
malloc(1024)                   => 0x78347f45da10
